Date,V7.3 alone (no overlay),V7.3 + V2 (original params),V7.3 + V2 (tuned params),"V7.3 + min(V2, SPY-vol 12%)","V7.3 + min(V2, SPY-vol 15%)",CONTROL universe equal weight,CONTROL SPY buy&hold,CONTROL QQQ buy&hold
2020-07-02,117422.16765395453,117822.46917994424,118054.11948208921,98961.25517038973,102244.03469080782,122319.52439596367,97099.7996276163,116668.20788716179
2020-07-06,120177.4555239568,120587.15004584278,120824.23597637322,99776.30343740578,103587.41923103301,126591.63096888823,98598.76396322827,119536.45922968248
2020-07-07,118973.20769206077,119378.79683713068,119613.5070290788,99306.843142663,103006.1927913775,126069.9089391456,97581.83521234186,118712.98158963883
2020-07-08,121534.71150480316,121949.033020477,122188.7965438703,100287.77359788805,104248.001357664,127741.9200882813,98328.18962113718,120276.64037273913
2020-07-09,122554.16043266407,122971.95733096491,123213.73202189905,100673.71941236482,104737.64301206186,127732.3198896211,97768.38774483216,121289.77990100707
2020-07-10,122988.0050220049,123407.28093108052,123649.91151006555,100837.22607222087,104945.25594464832,128958.97263270887,98766.69422048877,122117.87414351084
2020-07-13,120472.29398534568,120882.99363503991,121120.66122250984,99890.91898064893,103743.25090267796,126175.80304610275,97911.44020884155,119605.84944708775
2020-07-14,121115.02989196664,121527.92067958116,121766.85625562549,100135.42220879477,104053.17169638084,128023.3537795283,99180.32102658926,120452.4383355327
2020-07-15,120979.91731313246,121392.34749119967,121631.01651732132,100084.17164088204,103988.17391311046,129299.14515704884,100091.51400334293,120697.62651573155
2020-07-16,119804.20310620428,120212.62518085656,120448.97475949473,99637.93308840702,103422.30229138276,128121.40993668532,99761.8471730572,119874.16299373824
2020-07-17,120247.71463474794,120657.648675541,120894.87321315536,99807.16052454246,103636.68637547025,128225.22134563047,100051.09531853315,120012.95754659911
2020-07-20,124640.0206675447,125064.9284295922,125310.81810292954,101479.7550359222,105756.38813105981,130583.46215168617,100859.65451608725,123417.83598242079
2020-07-21,123451.95013293182,123872.80766785872,124116.35351716515,101035.96522261371,105191.92341109547,129722.25522621202,101074.23836491683,122131.7521869919
2020-07-22,123822.01033195975,124244.12943159237,124488.40533518606,101174.9168458012,105368.4874682533,129848.9647253906,101649.5296046255,122561.9856529549
2020-07-23,119689.22187867181,120097.25197315749,120333.37471697705,99625.63159242678,103399.2343095411,126996.16609207034,100436.70111392534,119360.66126688891
2020-07-24,119697.57956971688,120105.63815623727,120341.77738809904,99628.82324465479,103403.27721952769,125334.3936515696,99789.84757250347,118227.2359497516
2020-07-27,121195.8778419602,121609.04424667837,121848.13931945503,100200.97484531,104250.96566254202,126435.03750767418,100517.55909480696,120336.78326717381
2020-07-28,119759.77723473783,120168.04785805433,120404.30979339007,99656.2437461131,103431.74601142586,124558.84687765862,99880.01153818445,118805.51129154605
2020-07-29,121334.6851194388,121748.32472922638,121987.69364082249,100257.50317196078,104333.7766551042,126091.87364272802,101108.39122607432,120174.86334786129
2020-07-30,121181.6208127847,121594.73861415441,121833.80556068216,100199.47765047938,104246.49215134051,125357.77839529757,100747.69414082624,120804.03426111986
2020-07-31,120630.12354852656,121041.3612517779,121279.34020520817,99990.26628723682,103931.86853876011,125827.50530011031,101543.81444175479,122959.84642949568
2020-08-03,121438.57648292276,121852.57026664676,122092.14413499186,100297.71303292124,104393.79300137132,128957.23428660454,102249.7501657403,124620.65151696335
2020-08-04,120507.0071741956,120917.82516391664,121155.56123352113,99944.72275759156,103862.71729015972,129131.42711092274,102644.71347408695,125083.27179039893
2020-08-05,121419.38730795191,121833.3156742494,122072.85168621466,100291.88828433413,104384.20785823373,131017.50821381656,103282.25072507844,125393.21946749257
2020-08-06,122249.44251701116,122666.20060765697,122907.37415147688,100606.44427226728,104857.44301385545,132138.3166138343,103972.61464061224,127054.03867301058
2020-08-07,121227.49630548885,121640.77050006865,121879.9279497097,100117.08498732215,104276.13853169902,130914.46214716404,104047.27893725857,125587.52619427766
