Date,buy&hold,V2 (original params),V2 (tuned on 2024-26),A voltgt10,A voltgt12,A voltgt15,A voltgt20,V2 + voltgt15 (min of both)
2007-07-20,448894.3741789952,348485.621797635,297079.4443284425,315433.7185545735,345687.3204502419,373038.2143621598,385191.8474812555,297098.07258231286
2007-07-23,450269.02943349513,349552.7939848515,297989.19468986534,316266.868998654,346700.4186559669,374180.5742824419,386277.2143870184,298007.879989287
2007-07-24,442460.82812324277,343491.13216585224,292821.7071028424,311536.4642146798,340946.6585102023,367691.83741759683,380113.7077071489,292840.068376915
2007-07-25,443367.3722425591,344194.9003778837,293421.66031838063,312087.0039684033,341615.185611419,368445.18969591125,380830.3088611768,293440.0592122921
2007-07-26,432868.93196703016,336044.7525975415,286473.76570715115,305713.1454877659,333873.8359879846,359720.82236309745,372532.90151343547,286491.7289359664
2007-07-27,424358.8645322911,329438.21816066233,280841.7813247811,300529.24830739107,327592.13248361857,352648.8238205388,365793.9695074459,280859.39140215196
2007-07-30,430997.4682607115,334591.89813804656,285235.22624233644,304547.41859503713,332496.6398595364,358165.6068838981,371059.3512452718,285253.11180900433
2007-07-31,426142.74921717064,330823.0832856987,282022.3607693316,302009.5868134214,328912.41617855453,354131.2597692908,367213.58735282073,282040.0448744886
2007-08-01,428218.8909183188,332434.83333934523,283396.3566543374,303098.11867285025,330412.7419432057,355856.565849091,368859.74144219555,283414.12691538525
2007-08-02,431640.5792396738,335091.1579690445,285660.8387321812,304889.86446394725,332672.654252543,358700.04212084564,371571.7167889607,285678.7509867188
2007-08-03,420527.8835009168,326464.15146790165,278306.42828518245,299082.77293380746,325341.46491591516,349465.2189339485,362769.5486403648,278323.87938420265
2007-08-06,427575.685019897,331935.4998204849,282970.68134655163,302791.0211214441,330008.686937053,355322.0517325947,368363.7687074525,282988.4249157908
2007-08-07,432137.8622887904,335477.2086806351,285989.94192527805,305181.1464586631,333022.69704026444,359113.29207750707,371980.2474632517,286007.8748161065
2007-08-08,438162.11563452345,340153.9562493564,289976.8081891232,308328.584108431,336996.57858693565,364119.5404072343,376751.7003712372,289994.9910748885
2007-08-09,425177.9245496281,330074.0707260978,281383.83733799617,301537.6262595567,328448.55443523894,353329.4754479549,366478.9875105984,281401.48140478367
2007-08-10,423189.04547172005,328530.0643807014,280067.5920801177,300638.18022915185,327086.6228235574,351638.4593082364,364901.6065115164,280054.7088316976
2007-08-13,424709.81341444445,329710.6667509127,281074.04019211145,301327.09991067444,327925.22062350245,352765.39028681925,366108.18106533674,280952.22819775704
2007-08-14,418217.63877244707,324340.95191598043,276496.42837807164,298389.9100794289,324348.9109172649,347956.37358893955,360958.77445302525,276871.6366773961
2007-08-15,412456.69200778863,324340.95191598043,276496.42837807164,295768.8825885588,321161.29222892574,343681.8400471045,356383.6914842692,276871.6366773961
2007-08-16,415556.47680164373,324243.64963040565,276413.4794495582,297186.31250868994,322883.31460267253,345985.30808766506,358848.1463325435,276788.5751863929
2007-08-17,423189.04547172,326030.27459701995,277936.55391549214,300667.00289907964,327114.36961071193,351652.5367902916,364912.7332754385,278313.71647895256
2007-08-20,422984.46239635005,325982.9905685548,277896.24489835225,300574.3162928983,327001.54669684824,351500.9290211364,364750.4124815404,278273.3527620907
2007-08-21,423832.50448870077,326179.0596835948,278063.39125993126,300958.5901046877,327469.28744406067,352129.4096386097,365423.2940628075,278440.7259428819
